0VOQC,YA10,Basement (A room below the ground floor),6,7,Yes,"One person runs in with a phone, then eats something out of a bag, then closes the bag.",bag;food;phone;sandwich,"A person is eating some food.;A person runs into the room, bumps into a box, looks at a phone and sticks it in a pocket. The person then opens a bag containing a sandwich that has been held the whole time and removes the sandwich and begins eating it. The bag is then closed and the person walks away with it.",c015 0.00 9.00;c021 5.40 10.50;c150 0.00 4.90;c017 0.00 9.50;c020 0.00 28.90;c156 5.80 25.30;c067 8.00 21.80;c065 12.00 20.70;c069 24.10 29.00,27.88
R1S1Z,28B0,Kitchen,6,6,Yes,"A person is taking groceries from a bag and throwing them to a person as the person stands by the fridge, ready to put them away.",bag;floor;food;groceries;refrigerator;shelf,A person tosses objects to another person and then throws a bag at them. Then both of them go crazy.,c024 9.80 15.00;c062 0.00 23.00;c020 0.00 17.40;c125 1.70 20.60;c081 3.50 20.70;c061 0.00 23.00;c154 16.20 21.60;c021 0.00 6.60;c143 2.00 6.00;c064 3.00 15.00;c130 3.00 15.00,21.67
G6MYM,2RTW,Entryway (A hall that is generally located at the entrance of a house),6,6,Yes,A person is in the entryway watching the mirror.  Another person is working on bringing in groceries to the house.,bag;door;food;groceries;hair;mirror;table,A person is standing in front of a mirror fixing their hair when another person comes in through the door holding a bag and goes to the table and puts groceries in the bag.;A person is looking at himself in the mirror and flexes. Another person walks in with a bag sand puts something in the bag;A person stands and poses in front of a mirror. Another person walks into the room holding a bag of food and starts putting the bag's contents onto the table.,c062 17.00 32.00;c096 0.00 32.00;c008 8.10 17.00;c144 16.80 23.90;c020 11.20 32.00;c130 14.70 32.00;c097 10.10 16.20;c021 15.40 32.00,30.58
XECIL,UTJM,Pantry,7,7,Yes,"A person is eating a sandwich in the pantry, and takes a bag of chips from the cabinet. The person wipes their hands with a paper towel.",bag;cabinet;chips;food;napkin;sandwich;towel,"Person eats sandwich, open cabinet, grab food out, pours food on plate, puts food away, grabs napkin, wipe mouth.",c024 20.00 25.00;c068 16.00 23.00;c061 0.00 29.20;c063 12.20 18.80;c021 17.50 28.20;c024 26.20 32.70;c034 28.50 34.00;c065 0.00 27.50;c068 12.70 19.60;c113 9.90 14.50;c062 5.70 10.10;c020 12.70 21.90;c023 12.00 16.70;c033 23.10 34.00;c035 22.10 27.10;c067 1.50 5.60;c156 2.00 8.80;c112 10.50 17.20;c069 0.10 5.80,32.92
PXKFK,D0RU,Entryway (A hall that is generally located at the entrance of a house),7,6,Yes,A person is smiling at the light outside the door.  Then a person is taking groceries inside that were in a bag by the door.,bag;door;groceries;hallway,"A person is walking through a hallway and then goes through a door way to pick up a plastic bag with stuff inside, the person then reaches into the bag.",c023 22.80 37.00;c020 26.30 37.00;c021 26.00 32.70;c097 28.10 37.00,35.58
GKH4A,PKND,Living room,6,7,Yes,"A person is using a vacuum to clean the foor. Then the person is tidying the sofa, taking a bag from the couch and setting it on the floor.",bag;blanket;floor;food;sofa;vacuum,Vacuuming the floor in living room. the one is straightening up the sofa.  then takes food out of a bag,c137 0.00 9.60;c021 22.90 29.10;c063 24.80 33.00;c023 14.40 25.20;c022 21.50 27.90;c070 7.20 16.70;c020 14.10 27.70;c075 6.70 16.80,31.50
MJX48,CO1W,Stairs,4,7,Yes,"A person puts a pair of shoes into a bag, then throws the bag up the stairs.",bag;shoe;window,A person is putting shoes in a bag on the stairs. He throws the bag as well.,c024 18.50 23.50;c054 6.20 15.30;c058 8.20 14.40;c023 2.40 8.80;c092 1.00 6.40;c053 8.30 13.50;c020 3.20 23.10;c056 6.30 14.40;c021 4.40 9.90;c022 18.30 23.80,30.25
3C36H,XXN8,Basement (A room below the ground floor),4,7,Yes,"Person is sitting on chair doing homework, Another person opening bag and starts sneezing.",bag;chair;paper,"A person is holding a bag, while another person sits in a chair and begins writing.",c059 0.60 34.00;c115 0.00 34.00;c145 0.50 30.70;c020 0.00 34.00;c021 3.10 10.00;c151 0.00 5.10;c154 27.40 32.70,32.54
705RV,XXN8,Kitchen,7,7,No,A person is seen fixing a sandwich. They then start putting the sandwich on a table and begin taking some medicine.,bag;bread;cover;food;jar;medicine;sandwich;shelf;spoon;twist tie,"Person removes bread from bag, uses spoon to pretend to spread something, puts bread down, opens jar, pours something from Jar, eats it and puts jar down;A person is making a sandwich, they then take some medicine.",c067 4.30 21.20;c068 15.50 21.80;c021 1.80 9.40;c063 0.80 20.20;c129 18.10 26.90;c066 0.00 20.20;c154 0.00 30.30;c020 0.00 6.50;c023 0.00 9.50;c156 18.90 29.50;c128 17.50 30.30,30.42
NEM29,T7C3,Bedroom,5,7,Yes,"A person is undressing while the person watches television. Then the person puts their clothes on the floor and sits down, eating a snack.",bag;bed;clothes;floor;food;television,A person removed their jacket dropping it to the floor and then sat on their bed. The person then watched TV while eating a snack from a bag.,c132 4.00 17.80;c155 0.00 5.20;c156 8.20 24.60;c002 12.30 26.40;c135 14.20 33.00;c061 13.90 33.00;c020 13.80 33.00;c003 7.70 14.50;c151 13.90 19.20;c021 18.80 26.50;c063 22.40 28.30;c023 12.80 18.90,32.42
YUEB9,ID9V,Dining room,3,6,Yes,A person is eating and reading a book at the dining room table. They start sneezing and get up to look out a window.,bag;book;chair;food;table;window,A person is sitting in a chair and reading a book while eating a bag of chips.;There is a person sitting at a table reading a book and playing with a bag.  That same person sneezes a few times and then gets up and looks out the window.,c092 21.00 29.40;c153 11.60 21.90;c011 0.00 22.60;c154 17.70 26.20;c021 0.00 9.10;c059 0.00 23.30;c032 0.20 23.10;c156 0.00 22.30,29.58
0WGTG,YMXV,Bedroom,7,1,No,A person grabs a tool bag off a table and laughs. The laughing is interrupted by several sneezes.,bag,A person is looking through a bag and then sneezes and picks up the bag.,c020 20.10 29.40;c021 0.00 4.60;c153 18.20 30.20;c023 19.30 24.10,31.08
